PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
BRIDGE PARK BRONX,0,BRONX,0,0,0,0,0,0,0
BEACH 30TH STREET PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BROWER PARK,4,BROOKLYN,0,0,1,0,0,3,0
JOYCE KILMER PARK,4,BRONX,0,1,1,2,0,0,0
MARIA HERNANDEZ PARK,4,BROOKLYN,0,0,1,1,0,2,0
THE HIGH LINE,1,MANHATTAN,0,0,0,0,0,1,0
FRIENDS FIELD,3,BROOKLYN,0,0,1,1,0,1,0
LINDOWER PARK,0,BROOKLYN,0,0,0,0,0,0,0
J. HOOD WRIGHT PARK,1,MANHATTAN,0,0,0,0,0,0,1
WNYC TRANSMITTER PARK,0,BROOKLYN,0,0,0,0,0,0,0
SPUYTEN DUYVIL SHOREFRONT PARK,0,BRONX,0,0,0,0,0,0,0
PARK AVENUE MALLS,0,MANHATTAN,0,0,0,0,0,0,0
WESTWOOD PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
UNION SQUARE PARK,25,MANHATTAN,0,0,1,1,1,22,0
CONCRETE PLANT PARK,0,BRONX,0,0,0,0,0,0,0
COL. YOUNG PLAYGROUND,2,MANHATTAN,0,0,1,0,1,0,0
BRADYS POND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
COOPER PARK,1,BROOKLYN,0,0,0,1,0,0,0
GRAVESEND PARK,1,BROOKLYN,0,0,1,0,0,0,0
DR. CHARLES R. DREW PARK,0,QUEENS,0,0,0,0,0,0,0
TRINITY PARK,0,BROOKLYN,0,0,0,0,0,0,0
MADISON SQUARE PARK,8,MANHATTAN,0,0,0,1,0,7,0
ELMHURST PARK,0,QUEENS,0,0,0,0,0,0,0
FORT HAMILTON ATHLETIC FIELD,0,BROOKLYN,0,0,0,0,0,0,0
AMBROSINI FIELD,0,BRONX,0,0,0,0,0,0,0
CLEARVIEW PARK,0,QUEENS,0,0,0,0,0,0,0
RALPH DEMARCO PARK,0,QUEENS,0,0,0,0,0,0,0
WINGATE PARK,3,BROOKLYN,0,0,1,0,0,2,0
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,0,STATEN ISLAND,0,0,0,0,0,0,0
DE WITT CLINTON PARK,0,MANHATTAN,0,0,0,0,0,0,0
UNNAMED PARK ON BOUNDARY AVENUE,0,STATEN ISLAND,0,0,0,0,0,0,0
VAN VOORHEES PARK,0,BROOKLYN,0,0,0,0,0,0,0
HALLETS COVE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MCKINLEY PARK,4,BROOKLYN,0,0,1,1,0,2,0
SOUTHERN FIELDS,0,QUEENS,0,0,0,0,0,0,0
DEVOE PARK,6,BRONX,0,0,2,4,0,0,0
ST. MICHAEL'S PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
KENNEDY PLAYGROUND,2,QUEENS,0,0,1,0,1,0,0
MAFERA PARK,0,QUEENS,0,0,0,0,0,0,0
SEAGIRT AVE WETLANDS,0,QUEENS,0,0,0,0,0,0,0
JOHN PAUL JONES PARK,0,BROOKLYN,0,0,0,0,0,0,0
WALKER PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
OLD PLACE CREEK PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
HOOVER - MANTON PLAYGROUNDS,0,QUEENS,0,0,0,0,0,0,0
GEN. DOUGLAS MACARTHUR PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
GROVER CLEVELAND PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
POLICE OFFICER EDWARD BYRNE PARK,1,QUEENS,0,0,1,0,0,0,0
CYPRESS HILLS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
SETH LOW PLAYGROUND/ BEALIN SQUARE,1,BROOKLYN,0,0,0,1,0,0,0
KELLY PARK,0,BROOKLYN,0,0,0,0,0,0,0
SOCRATES SCULPTURE PARK,0,QUEENS,0,0,0,0,0,0,0
BEACH 9 PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
SOUTH BEACH WETLANDS,0,STATEN ISLAND,0,0,0,0,0,0,0
NAPLES PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
RAOUL WALLENBERG FOREST,0,BRONX,0,0,0,0,0,0,0
WEST HARLEM PIERS,1,MANHATTAN,0,0,1,0,0,0,0
SPORTS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
WASHINGTON'S WALK,0,BRONX,0,0,0,0,0,0,0
